Store,Region,ProductCategory,MarketingSpend,Revenue,CustomerSatisfaction
Store 627,South,Sports,31500,209300,3.6
Store 628,North,Sports,52500,198300,4.3
Store 629,South,Clothing,43300,215500,3.3
Store 630,West,Sports,29700,163000,4.8
Store 631,East,Clothing,39600,228700,4.0
Store 632,West,Sports,59700,242200,3.3
Store 633,West,Sports,16800,126300,3.2
Store 634,North,Electronics,30100,97600,4.4
Store 635,South,Sports,48500,179900,3.6
Store 636,East,Clothing,15100,53300,4.5
Store 637,West,Clothing,51200,215000,3.8
Store 638,East,Sports,52200,200500,3.9
Store 639,East,Electronics,26000,107700,4.9
Store 640,North,Home & Garden,36000,126700,3.9
Store 641,South,Sports,35500,196000,3.3
Store 642,South,Electronics,53300,416400,4.7
Store 643,South,Home & Garden,20100,66600,4.1
Store 644,South,Sports,42800,310700,3.4
Store 645,South,Electronics,32800,237500,4.3
Store 646,South,Clothing,36700,200100,4.2
Store 647,South,Clothing,23700,184300,3.7
Store 648,North,Sports,30300,223200,3.5
Store 649,North,Clothing,19000,154800,3.4
Store 650,North,Clothing,50700,303300,3.2
Store 651,North,Sports,21000,153800,4.5
Store 652,North,Electronics,17300,147200,3.6
Store 653,East,Sports,14800,114000,4.8
Store 654,West,Electronics,42900,195000,4.7
Store 655,West,Electronics,53400,456200,3.4
Store 656,North,Sports,24700,108600,4.2
Store 657,South,Electronics,25500,116000,4.1
Store 658,North,Electronics,57300,400700,3.6
Store 659,East,Home & Garden,29000,198500,3.6
Store 660,East,Electronics,33200,244700,3.9
Store 661,West,Clothing,11900,60800,4.3
Store 662,North,Clothing,24500,124600,4.5
Store 663,West,Clothing,20000,93600,3.7
Store 664,East,Electronics,17000,78700,4.7
Store 665,North,Home & Garden,11600,76500,4.8
Store 666,South,Electronics,57200,396900,3.3
Store 667,South,Home & Garden,32500,145700,4.5
Store 668,North,Clothing,49400,236600,3.3
Store 669,West,Clothing,47300,174000,3.5
Store 670,West,Sports,11800,38200,4.2
Store 671,West,Electronics,30800,247100,3.3
Store 672,North,Home & Garden,18500,160000,3.8
Store 673,West,Home & Garden,17500,62400,4.7
Store 674,East,Electronics,34800,216300,3.4
Store 675,West,Electronics,18200,113100,4.1
Store 676,South,Electronics,24200,153200,4.9
Store 677,North,Electronics,54500,168400,4.8
Store 678,West,Electronics,44400,194300,4.5
Store 679,North,Home & Garden,59900,332100,4.3
Store 680,East,Home & Garden,38500,143400,4.3
Store 681,North,Electronics,22200,169800,4.1
Store 682,East,Electronics,13700,68800,3.4
Store 683,North,Electronics,50700,256200,4.6
Store 684,West,Electronics,10500,90700,3.9
Store 685,West,Clothing,14400,64400,4.4
Store 686,North,Electronics,49900,380300,3.5
Store 687,North,Home & Garden,45400,154400,3.2
Store 688,West,Clothing,34900,267900,4.7
Store 689,East,Electronics,53300,176000,3.8
Store 690,West,Clothing,42500,375200,4.2
Store 691,West,Sports,16700,133100,4.8
Store 692,East,Sports,51600,403200,4.2
Store 693,West,Sports,51300,395300,4.7
Store 694,South,Clothing,13400,103200,4.6
Store 695,North,Electronics,19900,114400,3.6
Store 696,West,Clothing,29600,228000,4.5
Store 697,South,Sports,30300,106700,4.3
Store 698,South,Sports,49600,150100,4.0
Store 699,East,Clothing,53900,315400,3.9
Store 700,South,Sports,17300,108500,3.3
Store 701,West,Sports,41000,194900,3.3
Store 702,South,Electronics,45100,254900,4.3
Store 703,North,Clothing,20800,140700,3.8
Store 704,North,Sports,23600,206400,3.8
Store 705,North,Home & Garden,54500,363000,4.7
Store 706,West,Home & Garden,35000,305700,4.1
Store 707,North,Electronics,29500,90100,4.7
Store 708,East,Electronics,32700,256900,3.6
Store 709,South,Clothing,59200,438500,4.5
Store 710,West,Electronics,56400,471700,4.3
Store 711,East,Home & Garden,32200,281700,3.8
Store 712,West,Clothing,55400,331800,3.8
Store 713,East,Clothing,53800,448100,3.4
Store 714,West,Sports,25600,155500,3.5
Store 715,West,Clothing,57400,338400,3.2
Store 716,South,Electronics,19400,165100,4.1
Store 717,West,Electronics,47400,324600,3.7
Store 718,North,Home & Garden,48600,153300,4.1
Store 719,West,Clothing,50200,354400,3.8
Store 720,South,Home & Garden,26200,209600,4.0
Store 721,East,Home & Garden,54700,230000,4.6
Store 722,East,Electronics,25400,155500,4.4
Store 723,East,Home & Garden,58600,449000,3.8
Store 724,North,Home & Garden,25500,220900,3.5
Store 725,South,Sports,30200,214100,3.8
Store 726,South,Sports,49700,290000,3.4
Store 727,West,Sports,41900,321500,3.7
Store 728,North,Home & Garden,47900,278800,4.1
Store 729,West,Clothing,23800,123200,4.8
Store 730,South,Clothing,23000,175400,3.3
Store 731,South,Home & Garden,40100,206900,4.9
Store 732,East,Clothing,47700,337200,3.9
Store 733,East,Home & Garden,18300,74300,4.4
Store 734,East,Sports,29700,256700,4.5
Store 735,South,Sports,29600,231900,3.8
Store 736,North,Electronics,36600,224300,4.3
Store 737,South,Electronics,20700,146800,4.8
Store 738,East,Clothing,52600,368600,4.2
Store 739,West,Electronics,38700,179700,4.6
Store 740,North,Electronics,21100,170900,3.6
Store 741,East,Home & Garden,54900,409400,4.6
Store 742,West,Home & Garden,16600,119900,4.4
Store 743,South,Clothing,48600,322200,4.1
Store 744,North,Electronics,25500,131500,4.2
Store 745,East,Home & Garden,11200,68400,3.4
Store 746,South,Electronics,10200,69100,3.4
Store 747,South,Clothing,58900,385300,4.2
Store 748,East,Clothing,36900,214200,4.0
Store 749,South,Home & Garden,58200,359900,3.6
Store 750,North,Home & Garden,52000,408300,4.1
Store 751,East,Electronics,48900,155000,4.1
Store 752,West,Home & Garden,13200,89500,4.4
Store 753,East,Sports,29500,257500,3.9
Store 754,East,Home & Garden,58100,289100,4.9
Store 755,East,Sports,38800,216800,4.8
Store 756,West,Electronics,27100,112200,3.9
Store 757,South,Electronics,13800,115700,3.2
Store 758,North,Electronics,48700,204900,4.5
Store 759,South,Clothing,56000,410800,4.4
Store 760,East,Home & Garden,20300,62500,4.7
Store 761,South,Home & Garden,41400,264600,3.7
Store 762,South,Home & Garden,15300,113800,4.4
Store 763,West,Clothing,50200,287700,3.4
Store 764,East,Electronics,28200,234200,4.0
Store 765,East,Home & Garden,49700,291100,4.6
Store 766,North,Clothing,36400,164100,3.9
Store 767,South,Home & Garden,42800,369200,3.5
Store 768,South,Sports,48700,358200,3.5
Store 769,West,Electronics,16900,62000,4.4
Store 770,West,Clothing,10500,83800,4.5
Store 771,West,Clothing,20200,130000,4.8
Store 772,South,Home & Garden,41200,342400,4.0
Store 773,North,Clothing,22200,187300,3.9
Store 774,East,Clothing,39600,148800,3.5
Store 775,West,Sports,48100,308800,4.4
Store 776,West,Electronics,30000,211100,4.4
Store 777,North,Sports,44600,260000,3.4
Store 778,West,Sports,13100,58100,4.9
Store 779,North,Clothing,29600,228800,4.6
Store 780,East,Electronics,14700,130200,4.6
Store 781,East,Sports,12400,55100,4.8
Store 782,North,Clothing,56500,386000,4.8
Store 783,South,Clothing,17700,55000,4.5
Store 784,East,Clothing,19300,151400,3.5
Store 785,South,Clothing,35500,310300,3.8
Store 786,East,Clothing,52600,333200,4.6
Store 787,East,Clothing,43100,288400,4.0
Store 788,East,Electronics,11200,89400,4.6
Store 789,West,Electronics,16100,111100,3.6
Store 790,West,Clothing,40600,142800,4.1
Store 791,East,Clothing,46500,376600,4.6
Store 792,East,Clothing,28400,136800,4.5
Store 793,North,Sports,40300,357500,4.5
Store 794,East,Clothing,13700,50400,4.4
Store 795,North,Sports,32800,178600,4.2
Store 796,North,Clothing,55600,446100,4.4
Store 797,East,Electronics,52500,293200,4.7
Store 798,North,Home & Garden,32100,232400,3.6
Store 799,South,Home & Garden,11400,60300,3.5
Store 800,North,Sports,48100,385800,4.9
Store 801,South,Home & Garden,50200,154600,4.1
Store 802,South,Electronics,37200,191200,4.6
Store 803,East,Electronics,54500,423300,4.1
Store 804,East,Clothing,51300,250400,4.3
Store 805,South,Clothing,36900,324500,3.5
Store 806,East,Electronics,56900,309800,4.8
Store 807,East,Electronics,20900,157400,4.7
Store 808,South,Sports,45800,409400,3.5
Store 809,West,Electronics,44500,332700,4.5
Store 810,North,Home & Garden,22900,72500,4.4
Store 811,North,Home & Garden,40900,283700,4.5
Store 812,North,Clothing,39900,286100,3.7
Store 813,East,Clothing,36800,126600,3.3
Store 814,East,Sports,42400,257000,4.7
Store 815,West,Electronics,55000,249100,3.9
Store 816,North,Sports,59500,492000,4.7
Store 817,West,Home & Garden,26100,110600,3.9
Store 818,North,Clothing,52800,412700,4.3
Store 819,South,Clothing,52300,179700,3.4
Store 820,South,Home & Garden,19000,73400,3.4
Store 821,East,Sports,22700,80200,4.2
Store 822,East,Clothing,24800,114300,4.8
Store 823,South,Home & Garden,37100,150600,3.8
Store 824,South,Home & Garden,28300,173700,3.4
Store 825,North,Electronics,24300,128400,4.5
Store 826,North,Electronics,54300,411400,4.7
Store 827,North,Sports,23100,70300,3.4
Store 828,West,Home & Garden,21700,68900,3.9
Store 829,East,Clothing,33000,239900,3.4
Store 830,East,Sports,34000,137500,3.6
Store 831,West,Clothing,15900,54200,3.8
Store 832,West,Electronics,56800,359500,3.3
Store 833,North,Sports,47200,301000,4.7
Store 834,West,Clothing,13000,72700,3.3
Store 835,North,Home & Garden,20600,72100,3.7
Store 836,West,Electronics,13700,78300,3.7
Store 837,North,Home & Garden,43100,222700,3.4
Store 838,West,Sports,22900,138700,4.3
Store 839,East,Sports,44300,141500,4.3
Store 840,West,Electronics,42600,164900,4.6
Store 841,South,Clothing,52900,275400,4.7
Store 842,North,Electronics,10800,62100,4.4
Store 843,West,Electronics,52500,247300,4.9
Store 844,North,Home & Garden,47400,308100,4.8
Store 845,West,Clothing,44000,135300,4.8
Store 846,North,Clothing,33900,205800,4.8
Store 847,West,Electronics,41100,176700,4.6
Store 848,North,Home & Garden,60000,344400,3.6
Store 849,South,Clothing,30300,153300,4.3
Store 850,East,Home & Garden,48500,214900,4.6
Store 851,North,Home & Garden,40300,235800,4.1
Store 852,West,Electronics,23100,147200,3.7
Store 853,West,Electronics,55500,499000,3.4
Store 854,South,Clothing,18400,101900,3.3
Store 855,West,Sports,22700,145800,3.6
Store 856,North,Home & Garden,58400,424700,3.4
Store 857,West,Clothing,58400,491900,3.3
Store 858,North,Electronics,31000,191500,4.6
Store 859,East,Sports,22200,154300,4.2
Store 860,South,Electronics,31800,208400,3.6
Store 861,West,Electronics,53000,463200,4.3
Store 862,West,Home & Garden,57800,262700,4.6
Store 863,East,Sports,20600,102400,4.8
Store 864,West,Sports,27000,204200,4.8
Store 865,North,Sports,57900,446600,3.6
Store 866,West,Clothing,57900,245700,3.9
Store 867,North,Electronics,28500,206600,3.8
Store 868,West,Home & Garden,16400,71100,3.6
Store 869,South,Clothing,11800,45000,3.9
Store 870,West,Clothing,33500,191800,3.8
Store 871,South,Home & Garden,45200,254200,3.5
Store 872,West,Clothing,43800,336700,3.9
Store 873,East,Home & Garden,51800,355000,4.3
Store 874,North,Home & Garden,48300,232100,3.6
Store 875,East,Sports,52500,433200,4.2
Store 876,North,Clothing,39800,217800,4.2
Store 877,East,Clothing,49900,400300,3.3
Store 878,North,Clothing,18700,75700,4.7
Store 879,North,Clothing,11200,39100,3.4
Store 880,North,Electronics,33500,115200,3.8
Store 881,South,Sports,47400,391000,3.8
Store 882,East,Home & Garden,18100,64200,4.3
Store 883,South,Electronics,49600,365700,3.8
Store 884,West,Electronics,19400,166300,4.2
Store 885,East,Electronics,51900,287400,3.7
Store 886,East,Electronics,25600,87900,4.0
Store 887,East,Electronics,19600,142000,4.6
Store 888,North,Clothing,51200,298600,3.9
Store 889,East,Electronics,56700,243500,4.6
Store 890,West,Electronics,47500,285400,4.1
Store 891,South,Clothing,11500,84500,3.6
Store 892,South,Electronics,42000,300200,4.2
Store 893,North,Electronics,59300,532000,4.7
Store 894,North,Electronics,13100,75700,3.8
Store 895,South,Sports,25800,189000,3.3
Store 896,South,Clothing,24700,122300,3.6
Store 897,North,Electronics,33100,138600,3.4
Store 898,South,Sports,36500,279300,3.4
Store 899,East,Sports,31900,108500,4.6
Store 900,North,Sports,25900,151800,4.4
Store 901,South,Sports,49000,360100,3.7
Store 902,East,Clothing,48500,171100,4.8
Store 903,North,Clothing,52900,458100,4.1
Store 904,East,Sports,44200,141900,4.3
Store 905,South,Sports,36000,139300,4.4
Store 906,East,Clothing,24400,185600,3.4
Store 907,East,Clothing,25800,204100,4.2
Store 908,West,Electronics,22000,117100,4.6
Store 909,South,Home & Garden,16200,72200,4.9
Store 910,East,Clothing,23000,171200,4.7
Store 911,West,Sports,21300,87500,4.6
Store 912,West,Sports,45800,339100,3.4
Store 913,North,Sports,15400,121400,3.8
Store 914,North,Clothing,22800,132600,4.9
Store 915,North,Home & Garden,25700,189600,4.6
Store 916,North,Sports,12800,38400,3.6
Store 917,South,Clothing,49400,223600,3.3
Store 918,East,Home & Garden,21400,105000,4.7
Store 919,South,Home & Garden,28700,146900,3.8
Store 920,East,Electronics,10600,74800,4.5
Store 921,North,Clothing,59500,438400,4.5
Store 922,South,Home & Garden,35200,174400,3.9
Store 923,South,Electronics,22000,160100,4.3
Store 924,East,Home & Garden,54800,221200,3.7
Store 925,North,Clothing,49700,400400,4.9
Store 926,South,Sports,49100,377700,4.7
Store 927,North,Home & Garden,28000,94800,3.4
Store 928,East,Clothing,21400,73300,3.3
Store 929,East,Electronics,53000,362500,3.7
Store 930,West,Sports,25500,173200,4.7
Store 931,West,Home & Garden,55000,407100,3.7
Store 932,South,Clothing,40000,359500,4.7
Store 933,East,Sports,32300,99200,4.8
Store 934,North,Electronics,20400,127600,4.8
Store 935,East,Clothing,33100,212300,3.2
Store 936,North,Sports,59900,245800,3.7
Store 937,South,Clothing,21100,157600,4.6
Store 938,North,Home & Garden,54200,485300,3.9
Store 939,West,Clothing,56500,237900,3.7
Store 940,South,Electronics,34600,260000,3.2
Store 941,North,Sports,60000,382000,4.6
Store 942,North,Clothing,55500,350100,4.5
Store 943,South,Clothing,56200,238500,3.2
Store 944,North,Sports,56600,360000,3.4
Store 945,West,Clothing,31200,206300,3.6
Store 946,South,Electronics,31000,188500,4.0
Store 947,East,Clothing,50100,421800,3.5
Store 948,North,Home & Garden,21600,171300,3.6
Store 949,North,Electronics,58800,431000,3.4
Store 950,West,Electronics,23600,189500,4.8
Store 951,East,Sports,57200,323500,3.3
Store 952,East,Sports,17100,98500,4.3
Store 953,South,Sports,48300,215900,3.5
Store 954,North,Sports,27800,156100,3.7
Store 955,North,Sports,14200,59100,3.7
Store 956,South,Electronics,30900,248400,4.5
Store 957,West,Sports,57200,333400,3.5
Store 958,North,Electronics,21600,110400,3.9
Store 959,East,Sports,15000,111100,3.8
Store 960,West,Electronics,33300,266700,4.1
Store 961,East,Sports,27700,187800,4.8
Store 962,West,Sports,41000,161500,4.3
Store 963,East,Electronics,41300,291900,3.9
Store 964,South,Electronics,27000,234100,4.1
Store 965,West,Electronics,24300,92700,4.7
Store 966,East,Home & Garden,50300,283900,3.7
Store 967,East,Home & Garden,37400,289900,3.8
Store 968,West,Clothing,26600,141600,4.2
Store 969,South,Clothing,28500,151800,3.8
Store 970,East,Home & Garden,54600,258100,4.0
Store 971,West,Clothing,13800,58800,4.5
Store 972,North,Electronics,25600,110500,3.9
Store 973,East,Clothing,57300,361300,4.8
Store 974,East,Electronics,31700,131800,4.5
Store 975,West,Sports,14700,121100,4.5
Store 976,North,Home & Garden,11900,39700,3.4
Store 977,East,Home & Garden,45400,307800,3.4
Store 978,North,Clothing,19000,126500,4.3
Store 979,North,Home & Garden,16000,130300,3.8
Store 980,West,Home & Garden,32300,190500,3.2
Store 981,North,Electronics,19000,74400,3.8
Store 982,East,Sports,36500,258600,3.3
Store 983,West,Clothing,32600,270200,4.2
Store 984,South,Sports,35600,138300,3.3
Store 985,North,Sports,18800,99600,4.4
Store 986,East,Clothing,52200,270000,4.4
Store 987,North,Sports,46400,253000,4.8
Store 988,North,Home & Garden,54800,227200,4.9
Store 989,North,Clothing,59500,424100,3.7
Store 990,South,Home & Garden,17900,145800,4.0
Store 991,South,Clothing,34600,275800,3.3
Store 992,West,Clothing,38700,326800,4.2
Store 993,West,Clothing,14400,110300,3.4
Store 994,South,Clothing,40300,226200,4.7
Store 995,South,Clothing,46500,320500,3.4
Store 996,West,Home & Garden,20700,143400,3.7
Store 997,South,Electronics,56000,484900,4.9
Store 998,West,Home & Garden,32800,268400,3.9
Store 999,West,Clothing,12300,98600,4.6
Store 1000,South,Clothing,40100,328400,4.5
