CarID,Brand,Model,Country,PlantLocation,YearOfManufacture,FuelType,Transmission,Segment,UnitsProduced,AverageCostPerUnit,TotalProductionCost,ElectricVehicle,DefectRate(%)
C0503,Toyota,Model X,Germany,São Paulo,2020,Hybrid,Automatic,Crossover,40762,38380,1564445560,No,0.55
C0504,Tesla,Mustang,USA,Paris,2021,Electric,Automatic,SUV,23716,51191,1214045756,Yes,0.52
C0505,Volkswagen,3 Series,UK,Chennai,2019,Hybrid,Automatic,SUV,68617,14930,1024451810,No,1.78
C0506,Mercedes,Mustang,UK,Munich,2011,Hybrid,Automatic,Hatchback,30784,14353,441842752,No,1.04
C0507,BMW,Elantra,South Korea,Monterrey,2016,Hybrid,Automatic,Sedan,20671,17832,368605272,No,2.03
C0508,Toyota,A-Class,Brazil,São Paulo,2016,Electric,Automatic,Crossover,14833,59554,883364482,Yes,1.64
C0509,Tesla,3 Series,France,Shanghai,2020,Hybrid,Automatic,Coupe,31035,64017,1986767595,No,1.58
C0510,Volkswagen,Elantra,Japan,Chennai,2013,Hybrid,Manual,Coupe,76440,67298,5144259120,No,0.48
C0511,BMW,Passat,Japan,Munich,2013,Electric,Automatic,Truck,34200,61389,2099503800,Yes,0.58
C0512,Volkswagen,Passat,India,Shanghai,2024,Hybrid,Automatic,Hatchback,42016,35525,1492618400,No,2.89
C0513,Honda,Corolla,China,Munich,2010,Petrol,Automatic,Crossover,16077,78211,1257398247,No,3.11
C0514,Tesla,Civic,Germany,Monterrey,2022,Diesel,Automatic,Crossover,15515,41280,640459200,No,0.9
C0515,BMW,Model X,Brazil,Shanghai,2011,Hybrid,Manual,Coupe,21736,21240,461672640,No,0.49
C0516,Kia,Optima,Mexico,Seoul,2018,Diesel,Manual,Truck,67140,75092,5041676880,No,0.28
C0517,Hyundai,Altima,China,Detroit,2019,Hybrid,Automatic,Coupe,46204,79541,3675112364,No,2.17
C0518,Hyundai,Elantra,South Korea,Paris,2017,Hybrid,Manual,Truck,42869,72851,3123049519,No,2.53
C0519,BMW,A-Class,UK,Seoul,2017,Petrol,Manual,SUV,4146,16544,68591424,No,1.37
C0520,Volkswagen,Altima,France,São Paulo,2018,Electric,Manual,Crossover,26406,67981,1795106286,Yes,2.41
C0521,Tesla,A-Class,Brazil,London,2024,Diesel,Automatic,SUV,48228,27332,1318167696,No,2.52
C0522,Hyundai,Altima,China,Detroit,2016,Electric,Automatic,Coupe,15378,36836,566464008,Yes,3.28
C0523,Tesla,Elantra,China,Seoul,2022,Petrol,Automatic,Hatchback,9645,24388,235222260,No,0.32
C0524,Hyundai,Optima,France,Chennai,2018,Petrol,Manual,Sedan,18726,11694,218981844,No,0.75
C0525,Honda,Altima,India,Munich,2019,Diesel,Automatic,Hatchback,3302,59294,195788788,No,0.33
C0526,Volkswagen,Elantra,Germany,São Paulo,2021,Electric,Automatic,Hatchback,24619,48769,1200644011,Yes,3.05
C0527,Honda,Mustang,Germany,Chennai,2011,Petrol,Automatic,Sedan,64060,49420,3165845200,No,2.79
C0528,Hyundai,Optima,China,Detroit,2015,Hybrid,Automatic,Crossover,57853,47855,2768555315,No,2.05
C0529,Kia,3 Series,USA,Munich,2024,Hybrid,Automatic,SUV,62626,11460,717693960,No,0.38
C0530,Kia,A-Class,China,São Paulo,2012,Hybrid,Manual,SUV,72141,57646,4158640086,No,1.03
C0531,Honda,Passat,China,London,2020,Electric,Automatic,Crossover,52212,51252,2675969424,Yes,1.11
C0532,Kia,Civic,France,Detroit,2024,Hybrid,Manual,Sedan,52689,19835,1045086315,No,2.01
C0533,Hyundai,Passat,UK,São Paulo,2015,Hybrid,Automatic,Truck,58284,20910,1218718440,No,0.98
C0534,BMW,Optima,France,Seoul,2012,Petrol,Automatic,Hatchback,68785,18463,1269977455,No,0.35
C0535,Honda,3 Series,Brazil,São Paulo,2017,Petrol,Automatic,Coupe,43449,23336,1013925864,No,2.58
C0536,Ford,A-Class,China,Detroit,2024,Hybrid,Automatic,SUV,34629,36534,1265135886,No,1.12
C0537,Volkswagen,3 Series,Germany,Monterrey,2020,Hybrid,Automatic,Crossover,25012,12369,309373428,No,1.64
C0538,Kia,Altima,Mexico,Seoul,2024,Petrol,Automatic,Coupe,79531,35381,2813886311,No,0.53
C0539,Kia,A-Class,Germany,Chennai,2022,Diesel,Automatic,Sedan,64054,35407,2267959978,No,2.83
C0540,Toyota,Altima,Japan,Detroit,2013,Electric,Manual,Coupe,2564,72552,186023328,Yes,2.02
C0541,Mercedes,Elantra,India,Monterrey,2021,Electric,Automatic,Coupe,52067,45939,2391905913,Yes,3.17
C0542,Honda,Optima,South Korea,Nagoya,2019,Petrol,Automatic,Hatchback,30511,77576,2366921336,No,1.78
C0543,Nissan,Elantra,Brazil,London,2015,Electric,Automatic,Sedan,71652,36170,2591652840,Yes,3.3
C0544,Kia,Corolla,Brazil,Monterrey,2024,Petrol,Automatic,Coupe,74011,32369,2395662059,No,3.13
C0545,Volkswagen,3 Series,India,Nagoya,2018,Petrol,Automatic,SUV,11460,54544,625074240,No,2.06
C0546,Ford,Altima,Mexico,Paris,2011,Petrol,Automatic,Sedan,59420,15900,944778000,No,3.28
C0547,Kia,Mustang,South Korea,Munich,2011,Petrol,Automatic,SUV,21887,50733,1110393171,No,1.2
C0548,Ford,Elantra,UK,Monterrey,2016,Diesel,Automatic,Crossover,15824,10589,167560336,No,1.34
C0549,Hyundai,Corolla,China,Shanghai,2024,Hybrid,Automatic,Crossover,64460,70044,4515036240,No,0.25
C0550,Hyundai,Model X,South Korea,London,2011,Hybrid,Manual,Truck,72279,75311,5443403769,No,2.1
C0551,Mercedes,Passat,Mexico,Monterrey,2011,Diesel,Automatic,Crossover,33128,67926,2250252528,No,2.55
C0552,BMW,A-Class,USA,Nagoya,2013,Electric,Automatic,Coupe,75596,59008,4460768768,Yes,2.73
C0553,Nissan,Corolla,Japan,Shanghai,2018,Electric,Manual,Sedan,47952,76794,3682425888,Yes,0.61
C0554,Toyota,Optima,South Korea,London,2017,Hybrid,Automatic,Crossover,41598,12866,535199868,No,1.61
C0555,Mercedes,Elantra,South Korea,Shanghai,2011,Electric,Automatic,SUV,70959,62890,4462611510,Yes,0.7
C0556,Tesla,Optima,Japan,Seoul,2017,Hybrid,Automatic,Coupe,39735,51504,2046511440,No,2.35
C0557,Toyota,Passat,China,Nagoya,2013,Hybrid,Automatic,Crossover,28449,63374,1802926926,No,0.64
C0558,Honda,Mustang,South Korea,São Paulo,2011,Diesel,Automatic,Hatchback,23321,39404,918940684,No,3.17
C0559,Volkswagen,3 Series,Japan,Seoul,2020,Electric,Automatic,SUV,72112,75223,5424480976,Yes,0.88
C0560,Tesla,3 Series,Japan,London,2019,Diesel,Manual,SUV,22532,10637,239672884,No,1.09
C0561,Tesla,Optima,Japan,London,2016,Hybrid,Manual,Truck,74037,25828,1912227636,No,2.99
C0562,Mercedes,Altima,France,Detroit,2015,Hybrid,Automatic,Hatchback,15803,63544,1004185832,No,1.66
C0563,BMW,Mustang,Mexico,Nagoya,2023,Hybrid,Automatic,Truck,12803,55097,705406891,No,0.18
C0564,Mercedes,3 Series,France,Paris,2019,Petrol,Automatic,Crossover,51201,42022,2151568422,No,1.78
C0565,Honda,Mustang,USA,Paris,2014,Petrol,Automatic,Hatchback,51011,42202,2152766222,No,0.39
C0566,Kia,Corolla,UK,London,2020,Petrol,Automatic,SUV,18780,38704,726861120,No,3.45
C0567,Kia,Mustang,France,Paris,2010,Diesel,Automatic,Truck,39927,33641,1343184207,No,2.1
C0568,BMW,Civic,France,Munich,2011,Hybrid,Automatic,Coupe,7467,47479,354525693,No,0.97
C0569,Honda,Passat,Mexico,Detroit,2017,Electric,Automatic,Hatchback,7161,32027,229345347,Yes,2.02
C0570,BMW,3 Series,UK,London,2010,Diesel,Manual,SUV,78452,52912,4151052224,No,0.36
C0571,Ford,Mustang,India,Paris,2012,Diesel,Automatic,Sedan,66546,52692,3506441832,No,2.82
C0572,Kia,Optima,Japan,Nagoya,2011,Diesel,Manual,Hatchback,35700,42209,1506861300,No,3.25
C0573,Tesla,Model X,Brazil,Monterrey,2014,Electric,Manual,Hatchback,67942,67563,4590365346,Yes,3.07
C0574,Nissan,Civic,UK,São Paulo,2013,Hybrid,Automatic,Crossover,62171,66738,4149168198,No,1.26
C0575,Volkswagen,Civic,USA,Seoul,2022,Petrol,Manual,Coupe,58668,47242,2771593656,No,1.21
C0576,Honda,Altima,China,Seoul,2016,Hybrid,Automatic,Crossover,48822,19941,973559502,No,0.22
C0577,Toyota,Mustang,USA,Munich,2014,Hybrid,Automatic,Hatchback,38196,17073,652120308,No,2.31
C0578,BMW,Altima,Japan,Shanghai,2017,Diesel,Automatic,Hatchback,70746,47827,3383568942,No,1.92
C0579,Volkswagen,Altima,UK,Nagoya,2013,Diesel,Automatic,Coupe,39392,56225,2214815200,No,1.66
C0580,Toyota,Model X,USA,Shanghai,2024,Diesel,Automatic,Coupe,16083,47096,757444968,No,3.19
C0581,Volkswagen,Corolla,USA,Detroit,2021,Petrol,Automatic,Truck,55715,60546,3373320390,No,0.67
C0582,Nissan,Mustang,India,São Paulo,2015,Petrol,Automatic,SUV,25353,76457,1938414321,No,0.13
C0583,Toyota,Elantra,India,Detroit,2013,Petrol,Automatic,SUV,6609,78309,517544181,No,0.35
C0584,Mercedes,3 Series,UK,London,2011,Hybrid,Automatic,Truck,60257,79998,4820439486,No,0.86
C0585,Hyundai,Altima,Japan,Nagoya,2010,Diesel,Automatic,SUV,7159,40268,288278612,No,0.21
C0586,Mercedes,Passat,France,London,2023,Electric,Automatic,Hatchback,1738,52078,90511564,Yes,1.81
C0587,Kia,A-Class,Germany,Chennai,2023,Hybrid,Automatic,Truck,15564,11865,184666860,No,1.17
C0588,Hyundai,Passat,South Korea,Paris,2010,Petrol,Automatic,Truck,31615,38887,1229412505,No,0.71
C0589,Mercedes,Model X,Brazil,Seoul,2017,Electric,Automatic,SUV,32452,59876,1943095952,Yes,2.65
C0590,Hyundai,Model X,South Korea,Monterrey,2023,Electric,Manual,Sedan,6120,43479,266091480,Yes,0.8
C0591,Hyundai,Optima,Mexico,London,2013,Diesel,Automatic,SUV,44758,50478,2259294324,No,2.44
C0592,Tesla,Corolla,India,Shanghai,2014,Electric,Automatic,Crossover,4970,36401,180912970,Yes,1.29
C0593,BMW,3 Series,UK,Chennai,2020,Petrol,Automatic,Sedan,22503,38502,866410506,No,1.84
C0594,BMW,Altima,South Korea,Seoul,2017,Diesel,Manual,Truck,28071,23394,656692974,No,3.28
C0595,Tesla,Passat,Japan,London,2021,Electric,Automatic,Sedan,25168,19262,484786016,Yes,0.23
C0596,Volkswagen,A-Class,Brazil,Chennai,2024,Diesel,Automatic,Hatchback,77759,14487,1126494633,No,1.8
C0597,Ford,Model X,South Korea,Chennai,2016,Electric,Automatic,Coupe,32546,37341,1215300186,Yes,3.01
C0598,Volkswagen,Model X,Brazil,Nagoya,2022,Hybrid,Automatic,Sedan,71477,23570,1684712890,No,2.1
C0599,Toyota,Corolla,China,Detroit,2017,Hybrid,Automatic,Crossover,77755,67268,5230423340,No,1.04
C0600,Toyota,A-Class,Japan,Chennai,2022,Petrol,Automatic,Coupe,5897,39605,233550685,No,1.45
C0601,Hyundai,A-Class,Germany,Munich,2017,Hybrid,Manual,Hatchback,22733,36723,834823959,No,2.41
C0602,Mercedes,Corolla,USA,Detroit,2015,Hybrid,Automatic,Crossover,60808,79108,4810399264,No,3.13
C0603,Mercedes,Model X,Brazil,Seoul,2019,Hybrid,Automatic,Coupe,70226,70098,4922702148,No,0.24
C0604,BMW,3 Series,Japan,Seoul,2011,Electric,Manual,Hatchback,63719,58707,3740751333,Yes,0.34
C0605,Honda,Mustang,Brazil,Seoul,2015,Electric,Automatic,Coupe,1630,59028,96215640,Yes,1.21
C0606,Volkswagen,Mustang,Brazil,Seoul,2023,Diesel,Manual,Coupe,14571,66921,975105891,No,0.89
C0607,Kia,Corolla,France,Munich,2010,Electric,Automatic,SUV,2618,70760,185249680,Yes,1.0
C0608,Nissan,A-Class,France,London,2010,Hybrid,Manual,Crossover,1163,20249,23549587,No,0.85
C0609,Mercedes,Altima,Japan,São Paulo,2020,Electric,Automatic,Crossover,62908,77847,4897199076,Yes,0.77
C0610,Nissan,Corolla,France,Chennai,2012,Petrol,Manual,Sedan,52286,53839,2815025954,No,0.54
C0611,Hyundai,3 Series,Mexico,Seoul,2012,Diesel,Manual,Crossover,19658,49673,976471834,No,3.28
C0612,Nissan,Corolla,Germany,Detroit,2020,Diesel,Automatic,Crossover,31587,13642,430909854,No,0.59
C0613,Kia,Civic,UK,Detroit,2022,Electric,Automatic,Coupe,53621,16338,876059898,Yes,0.79
C0614,Tesla,Passat,Japan,Chennai,2014,Hybrid,Automatic,Truck,20374,61761,1258318614,No,0.94
C0615,Kia,A-Class,Japan,London,2010,Diesel,Manual,SUV,41321,19622,810800662,No,3.27
C0616,Nissan,Optima,Mexico,Monterrey,2019,Petrol,Automatic,Sedan,61082,58423,3568593686,No,2.67
C0617,Kia,Optima,India,Monterrey,2015,Petrol,Automatic,SUV,23287,52873,1231253551,No,2.78
C0618,Ford,A-Class,India,São Paulo,2016,Diesel,Automatic,Sedan,65203,57565,3753410695,No,0.46
C0619,Hyundai,3 Series,France,London,2019,Hybrid,Automatic,Hatchback,22205,17806,395382230,No,2.94
C0620,Volkswagen,Civic,UK,Chennai,2021,Hybrid,Automatic,Coupe,69881,10757,751709917,No,1.49
C0621,Tesla,Civic,France,Monterrey,2022,Electric,Manual,Crossover,45153,31470,1420964910,Yes,0.99
C0622,Mercedes,Model X,China,Monterrey,2020,Electric,Automatic,Crossover,32752,16220,531237440,Yes,2.06
C0623,Toyota,Passat,China,Monterrey,2012,Diesel,Manual,Truck,73832,64754,4780917328,No,2.9
C0624,Volkswagen,Mustang,USA,Shanghai,2013,Electric,Automatic,SUV,73299,32505,2382583995,Yes,2.75
C0625,Toyota,Elantra,China,Munich,2019,Electric,Automatic,SUV,62685,38288,2400083280,Yes,3.13
C0626,Hyundai,3 Series,India,Chennai,2020,Electric,Automatic,SUV,78813,29109,2294167617,Yes,3.26
C0627,Tesla,Elantra,Germany,Paris,2019,Petrol,Automatic,Crossover,42038,13497,567386886,No,0.91
C0628,BMW,Elantra,China,Nagoya,2023,Electric,Manual,SUV,20843,67326,1403275818,Yes,1.54
C0629,Mercedes,A-Class,France,Nagoya,2021,Diesel,Manual,Coupe,41732,19864,828964448,No,0.15
C0630,Ford,Optima,Brazil,London,2024,Hybrid,Automatic,Sedan,53606,31017,1662697302,No,3.09
C0631,BMW,Optima,Japan,Chennai,2019,Electric,Automatic,Crossover,53579,11821,633357359,Yes,0.63
C0632,Hyundai,Mustang,Germany,Chennai,2023,Hybrid,Automatic,Coupe,25528,60337,1540282936,No,3.03
C0633,Volkswagen,A-Class,Germany,Nagoya,2019,Electric,Manual,Hatchback,42635,55485,2365602975,Yes,1.22
C0634,Ford,Elantra,France,São Paulo,2019,Diesel,Manual,Coupe,31566,66388,2095603608,No,1.35
C0635,Kia,Altima,Japan,Nagoya,2012,Petrol,Manual,Coupe,21410,20372,436164520,No,0.23
C0636,Nissan,Optima,India,Chennai,2010,Diesel,Automatic,Hatchback,7641,26283,200828403,No,1.21
C0637,Ford,3 Series,Germany,Monterrey,2017,Petrol,Automatic,Coupe,46450,50857,2362307650,No,3.12
C0638,Hyundai,3 Series,USA,São Paulo,2022,Electric,Automatic,Sedan,56223,61772,3473007156,Yes,0.19
C0639,Honda,Model X,France,Seoul,2019,Electric,Automatic,Crossover,16725,69670,1165230750,Yes,1.48
C0640,Nissan,Corolla,Germany,Paris,2019,Petrol,Automatic,Truck,33459,41261,1380551799,No,0.21
C0641,Toyota,Altima,UK,Shanghai,2011,Diesel,Automatic,Hatchback,49692,67154,3337016568,No,1.36
C0642,Mercedes,Optima,Japan,Munich,2010,Diesel,Automatic,Crossover,10551,16107,169944957,No,0.69
C0643,Toyota,Civic,China,Seoul,2023,Petrol,Manual,SUV,71928,45561,3277111608,No,0.96
C0644,Ford,Optima,Germany,Detroit,2017,Electric,Manual,Sedan,3949,45268,178763332,Yes,3.08
C0645,Toyota,Model X,France,Nagoya,2016,Petrol,Automatic,Truck,41595,41608,1730684760,No,1.58
C0646,Hyundai,3 Series,China,Paris,2016,Electric,Automatic,Sedan,78429,23138,1814690202,Yes,1.03
C0647,Kia,Elantra,USA,Nagoya,2013,Petrol,Automatic,Sedan,29690,47693,1416005170,No,2.1
C0648,Volkswagen,Civic,China,Nagoya,2020,Electric,Manual,SUV,26641,31248,832477968,Yes,0.58
C0649,Mercedes,A-Class,UK,Seoul,2018,Petrol,Manual,Truck,24408,28632,698849856,No,0.98
C0650,Toyota,Passat,India,Monterrey,2015,Hybrid,Manual,Sedan,32822,57547,1888807634,No,1.96
C0651,Toyota,Elantra,Germany,Monterrey,2011,Electric,Manual,SUV,51210,22100,1131741000,Yes,0.91
C0652,Ford,Passat,South Korea,Shanghai,2023,Diesel,Automatic,Hatchback,14512,57930,840680160,No,2.41
C0653,Volkswagen,Altima,South Korea,São Paulo,2010,Petrol,Automatic,SUV,35389,76861,2720033929,No,1.77
C0654,BMW,Corolla,China,Nagoya,2010,Diesel,Automatic,Coupe,17912,63025,1128903800,No,2.72
C0655,Toyota,Civic,Mexico,London,2018,Petrol,Automatic,Crossover,25157,60840,1530551880,No,3.32
C0656,Hyundai,Mustang,Japan,Monterrey,2013,Diesel,Manual,SUV,6156,29369,180795564,No,0.49
C0657,Honda,Civic,South Korea,Chennai,2014,Diesel,Automatic,SUV,9467,28460,269430820,No,1.24
C0658,Mercedes,Optima,Mexico,Paris,2012,Petrol,Automatic,SUV,16264,11461,186401704,No,1.19
C0659,Toyota,3 Series,South Korea,London,2013,Petrol,Automatic,Sedan,16373,52362,857323026,No,0.61
C0660,Hyundai,Optima,Mexico,Seoul,2021,Diesel,Manual,Truck,51530,38610,1989573300,No,2.86
C0661,Hyundai,Optima,Japan,Seoul,2017,Diesel,Automatic,SUV,68307,30995,2117175465,No,2.68
C0662,Mercedes,Altima,Brazil,Shanghai,2022,Diesel,Automatic,SUV,2107,17717,37329719,No,1.75
C0663,BMW,Elantra,South Korea,Shanghai,2013,Electric,Automatic,Coupe,20023,74022,1482142506,Yes,1.93
C0664,Hyundai,Mustang,UK,São Paulo,2018,Electric,Automatic,Coupe,48947,63668,3116357596,Yes,0.3
C0665,Honda,Mustang,Germany,Chennai,2018,Hybrid,Automatic,Hatchback,50257,61645,3098092765,No,1.99
C0666,Hyundai,Optima,Mexico,Paris,2015,Electric,Manual,Hatchback,69701,39550,2756674550,Yes,2.79
C0667,Hyundai,Passat,Germany,Chennai,2011,Electric,Automatic,Coupe,71888,13576,975951488,Yes,2.05
C0668,Hyundai,Altima,France,Detroit,2021,Petrol,Manual,Truck,5962,50868,303275016,No,1.0
C0669,Kia,Optima,France,Shanghai,2019,Hybrid,Automatic,Hatchback,32295,56380,1820792100,No,2.37
C0670,Kia,Corolla,Japan,São Paulo,2020,Hybrid,Automatic,Crossover,70306,15728,1105772768,No,1.33
C0671,BMW,3 Series,Mexico,Munich,2016,Electric,Manual,Crossover,48965,42800,2095702000,Yes,1.95
C0672,Toyota,Elantra,USA,Nagoya,2018,Petrol,Automatic,Truck,61609,20886,1286765574,No,1.76
C0673,Hyundai,A-Class,France,Nagoya,2015,Petrol,Automatic,Coupe,51028,79909,4077596452,No,1.4
C0674,Volkswagen,Corolla,Japan,Munich,2012,Hybrid,Manual,Hatchback,36730,57236,2102278280,No,2.54
C0675,Toyota,Passat,France,Monterrey,2023,Petrol,Automatic,SUV,48742,55805,2720047310,No,3.11
C0676,BMW,Civic,France,Chennai,2024,Diesel,Manual,Coupe,66383,42532,2823401756,No,0.12
C0677,Tesla,Civic,USA,Munich,2016,Electric,Automatic,Hatchback,2283,38688,88324704,Yes,3.27
C0678,Toyota,Corolla,South Korea,São Paulo,2014,Diesel,Automatic,Truck,28890,21063,608510070,No,1.84
C0679,Toyota,Optima,China,Paris,2010,Hybrid,Automatic,Crossover,8917,33089,295054613,No,2.48
C0680,Nissan,A-Class,Brazil,Munich,2012,Hybrid,Manual,Truck,72602,65942,4787521084,No,3.01
C0681,Ford,Model X,France,São Paulo,2014,Petrol,Automatic,Hatchback,17926,61829,1108346654,No,1.69
C0682,Nissan,Model X,France,Shanghai,2016,Petrol,Manual,Truck,31250,60553,1892281250,No,2.94
C0683,Honda,Passat,UK,London,2012,Hybrid,Manual,Hatchback,58688,43585,2557916480,No,0.7
C0684,Kia,Optima,Brazil,Seoul,2015,Hybrid,Automatic,Hatchback,11372,69004,784713488,No,0.64
C0685,Kia,Mustang,USA,Seoul,2014,Diesel,Automatic,Truck,48586,12438,604312668,No,2.34
C0686,Ford,Mustang,Germany,Detroit,2022,Diesel,Automatic,Sedan,67270,33212,2234171240,No,3.06
C0687,Mercedes,Elantra,Mexico,Chennai,2010,Petrol,Automatic,SUV,35220,60362,2125949640,No,3.13
C0688,Mercedes,A-Class,France,Paris,2019,Diesel,Automatic,Coupe,18579,26983,501317157,No,2.29
C0689,BMW,A-Class,China,London,2015,Petrol,Automatic,Crossover,17838,24026,428575788,No,1.89
C0690,Ford,Civic,Mexico,London,2023,Petrol,Manual,SUV,3791,60998,231243418,No,1.23
C0691,Toyota,Altima,Brazil,Shanghai,2017,Electric,Manual,Coupe,74584,65744,4903450496,Yes,3.43
C0692,Mercedes,Passat,Mexico,Munich,2022,Petrol,Manual,Coupe,49893,67013,3343479609,No,1.19
C0693,Hyundai,Model X,South Korea,Chennai,2022,Diesel,Manual,Crossover,70270,61039,4289210530,No,2.63
C0694,Volkswagen,Passat,France,Nagoya,2010,Hybrid,Automatic,SUV,27220,59831,1628599820,No,1.91
C0695,Toyota,Mustang,Mexico,London,2011,Hybrid,Automatic,Crossover,13868,44603,618554404,No,2.17
C0696,Honda,Mustang,Germany,São Paulo,2023,Diesel,Manual,Hatchback,54813,77713,4259682669,No,1.44
C0697,Hyundai,Corolla,Germany,Nagoya,2024,Hybrid,Automatic,Crossover,48469,23105,1119876245,No,3.38
C0698,Hyundai,Elantra,France,Detroit,2013,Petrol,Manual,Truck,49338,77182,3808005516,No,2.04
C0699,Ford,A-Class,India,Munich,2021,Hybrid,Automatic,Sedan,9234,62147,573865398,No,3.29
C0700,BMW,3 Series,Germany,Munich,2011,Diesel,Automatic,Sedan,12697,56434,716542498,No,0.13
C0701,Honda,Passat,Mexico,Paris,2020,Hybrid,Manual,Sedan,69395,36515,2533958425,No,2.05
C0702,Mercedes,Mustang,Japan,London,2018,Petrol,Manual,SUV,57331,68001,3898565331,No,2.54
C0703,Ford,Altima,Germany,Shanghai,2019,Petrol,Automatic,SUV,58573,68397,4006217481,No,2.63
C0704,Mercedes,Civic,Brazil,Monterrey,2017,Diesel,Manual,Hatchback,73425,71415,5243646375,No,3.18
C0705,Ford,Model X,India,Monterrey,2017,Diesel,Automatic,Sedan,50802,26960,1369621920,No,0.11
C0706,Ford,Elantra,Mexico,Seoul,2013,Diesel,Automatic,Hatchback,16124,55778,899364472,No,0.1
C0707,Ford,Altima,USA,São Paulo,2014,Electric,Manual,Sedan,67771,40941,2774612511,Yes,1.71
C0708,BMW,Elantra,UK,Nagoya,2013,Electric,Automatic,SUV,24815,50955,1264448325,Yes,0.2
C0709,Ford,Corolla,USA,Detroit,2022,Petrol,Automatic,Truck,17922,66908,1199125176,No,3.41
C0710,Tesla,3 Series,South Korea,Seoul,2018,Electric,Automatic,Truck,39637,74067,2935793679,Yes,0.86
C0711,Volkswagen,Mustang,UK,Munich,2022,Electric,Automatic,Truck,73163,65696,4806516448,Yes,1.71
C0712,Mercedes,Civic,South Korea,Nagoya,2011,Hybrid,Automatic,Crossover,48732,28429,1385402028,No,0.31
C0713,Toyota,Altima,UK,Chennai,2022,Electric,Automatic,Truck,78642,24847,1954017774,Yes,1.87
C0714,Nissan,Elantra,UK,London,2020,Hybrid,Automatic,Coupe,33243,57191,1901200413,No,1.39
C0715,Honda,A-Class,Japan,Detroit,2017,Diesel,Manual,Sedan,16136,44256,714114816,No,0.25
C0716,Kia,Corolla,China,Chennai,2011,Hybrid,Automatic,Truck,10608,38774,411314592,No,1.24
C0717,BMW,A-Class,Brazil,Shanghai,2010,Hybrid,Manual,Coupe,74134,19127,1417961018,No,1.43
C0718,Toyota,Civic,USA,London,2019,Diesel,Automatic,Coupe,36680,38205,1401359400,No,3.47
C0719,Hyundai,Altima,Germany,Nagoya,2012,Diesel,Automatic,Coupe,19383,68764,1332852612,No,0.81
C0720,Tesla,Corolla,Mexico,London,2018,Petrol,Automatic,Hatchback,44900,48664,2185013600,No,1.95
C0721,Kia,Altima,India,Seoul,2021,Petrol,Automatic,Hatchback,46499,66795,3105900705,No,3.46
C0722,Nissan,Mustang,Brazil,Paris,2012,Petrol,Automatic,Coupe,48451,42333,2051076183,No,2.79
C0723,Toyota,Optima,South Korea,Seoul,2018,Petrol,Automatic,Crossover,7660,46079,352965140,No,3.48
C0724,Kia,Corolla,Japan,Shanghai,2016,Hybrid,Automatic,Truck,55762,34259,1910350358,No,3.39
C0725,Toyota,A-Class,South Korea,São Paulo,2022,Hybrid,Automatic,Sedan,20429,36571,747108959,No,1.76
C0726,Tesla,Civic,China,Chennai,2019,Petrol,Automatic,Crossover,11623,61119,710386137,No,2.47
C0727,Nissan,3 Series,India,Seoul,2010,Electric,Automatic,SUV,28857,18009,519685713,Yes,0.48
C0728,Hyundai,Mustang,Japan,Paris,2019,Petrol,Automatic,Hatchback,70996,71829,5099571684,No,1.6
C0729,Ford,Optima,South Korea,São Paulo,2014,Electric,Manual,Truck,34056,48230,1642520880,Yes,2.85
C0730,Mercedes,3 Series,China,Seoul,2018,Diesel,Automatic,Truck,62434,66049,4123703266,No,1.82
C0731,Hyundai,Model X,Mexico,Munich,2021,Hybrid,Automatic,SUV,79386,46498,3691290228,No,2.49
C0732,Ford,Mustang,Mexico,Paris,2024,Hybrid,Automatic,SUV,31381,38820,1218210420,No,2.64
C0733,BMW,Civic,South Korea,Chennai,2024,Electric,Manual,Truck,18909,50315,951406335,Yes,0.96
C0734,Volkswagen,Elantra,Brazil,Detroit,2012,Petrol,Automatic,SUV,55916,42795,2392925220,No,3.08
C0735,Honda,Corolla,India,Monterrey,2018,Hybrid,Manual,Truck,68482,49191,3368698062,No,1.66
C0736,Honda,Altima,France,São Paulo,2014,Electric,Automatic,Crossover,31157,64453,2008162121,Yes,0.81
C0737,Mercedes,Civic,Brazil,Munich,2018,Diesel,Manual,SUV,49451,22453,1110323303,No,3.04
C0738,Nissan,Corolla,Mexico,Detroit,2019,Diesel,Manual,Crossover,9252,60325,558126900,No,1.52
C0739,Tesla,3 Series,India,Nagoya,2015,Hybrid,Manual,Crossover,13940,59490,829290600,No,2.65
C0740,Nissan,Altima,China,Paris,2018,Petrol,Automatic,SUV,45364,59993,2721522452,No,1.96
C0741,Tesla,Passat,Japan,Munich,2016,Electric,Automatic,Truck,50191,55706,2795939846,Yes,1.4
C0742,Nissan,A-Class,UK,London,2016,Hybrid,Automatic,Coupe,72535,52817,3831081095,No,2.85
C0743,Volkswagen,Model X,South Korea,Nagoya,2017,Diesel,Automatic,Truck,22843,74544,1702808592,No,2.09
C0744,BMW,Mustang,USA,Nagoya,2016,Petrol,Manual,Sedan,20173,65710,1325567830,No,1.43
C0745,BMW,Civic,India,São Paulo,2021,Electric,Automatic,SUV,60454,60799,3675542746,Yes,0.47
C0746,Ford,Model X,Germany,Paris,2018,Hybrid,Automatic,Hatchback,55198,70964,3917070872,No,3.14
C0747,Kia,Elantra,China,Munich,2020,Electric,Automatic,SUV,27020,63678,1720579560,Yes,0.22
