RestaurantID,RestaurantName,CuisineType,City,Rating,AverageCostForTwo,DeliveryAvailable,NumberOfReviews,EstablishedYear,MonthlyRevenue
R0953,Royal Kitchen,Thai,San Francisco,4.0,1580,Yes,1602,1990,126790
R0954,Street Palace,Korean,New York,4.6,1760,Yes,1164,2010,22280
R0955,Golden Bistro,Mexican,Tokyo,2.9,980,Yes,558,2006,176430
R0956,Golden Kitchen,Italian,New York,4.0,890,Yes,477,2008,115600
R0957,Red Bistro,Mexican,Tokyo,4.0,670,No,1513,2005,59790
R0958,Street Garden,French,London,2.9,340,Yes,120,2014,155750
R0959,Blue Corner,Mexican,Sydney,2.8,530,No,162,1995,27390
R0960,Urban Garden,American,San Francisco,5.0,790,Yes,926,1993,85210
R0961,Royal Corner,Mediterranean,Berlin,3.5,210,Yes,771,1996,70490
R0962,Green Kitchen,Italian,San Francisco,3.1,990,No,1275,2010,73860
R0963,Street Hub,Japanese,Paris,2.9,380,Yes,729,2022,65710
R0964,Blue House,French,Singapore,4.2,680,Yes,889,1987,172870
R0965,Urban House,Italian,Paris,4.0,970,No,691,2017,162600
R0966,Red Hub,Mexican,Toronto,4.1,470,Yes,778,1999,85940
R0967,Golden Palace,American,Tokyo,2.7,670,Yes,288,1989,151850
R0968,Golden Corner,Chinese,Singapore,4.7,1150,Yes,372,2008,145720
R0969,Red Kitchen,Korean,Toronto,3.5,1840,Yes,1658,1995,94800
R0970,Street Palace,Japanese,Singapore,3.3,1960,Yes,1441,2017,195690
R0971,Spice Bistro,Korean,New York,3.7,1280,Yes,1208,2007,189730
R0972,Street Kitchen,Italian,Toronto,3.5,1950,Yes,610,1994,62170
R0973,Golden Garden,American,New York,4.7,920,No,1168,2012,96480
R0974,Street Garden,American,New York,4.8,1190,Yes,1539,2023,195190
R0975,Green Kitchen,Mexican,Singapore,3.3,480,Yes,303,2001,155500
R0976,Blue Kitchen,Thai,Dubai,4.7,1760,Yes,1528,2010,127500
R0977,Blue Hub,Mexican,Paris,4.5,770,No,1848,2009,20010
R0978,Spice Lounge,Thai,Toronto,4.8,670,No,880,2020,192750
R0979,Red Corner,Thai,Berlin,3.1,420,No,1452,1996,98820
R0980,Blue Lounge,Japanese,Dubai,3.9,460,No,1239,1987,150860
R0981,Royal House,Mexican,Paris,3.2,260,Yes,1351,2013,147480
R0982,Urban Palace,Chinese,Toronto,4.6,680,Yes,82,2008,183080
R0983,Ocean Lounge,Indian,Tokyo,2.5,1280,Yes,268,2003,138490
R0984,Fire Café,Indian,Paris,3.9,870,Yes,1391,1997,173170
R0985,Street Hub,Mexican,Berlin,3.3,1890,Yes,1181,2000,143410
R0986,Green Corner,Mexican,San Francisco,3.3,1910,Yes,1258,2011,157780
R0987,Spice Café,Korean,London,4.1,1730,Yes,1138,1990,62040
R0988,Blue House,Japanese,New York,4.6,1700,No,1589,1994,104710
R0989,Red Palace,Mexican,London,4.0,920,Yes,1961,2022,130790
R0990,Fire House,Korean,Dubai,4.6,1200,Yes,365,1992,48840
R0991,Green Hub,Thai,San Francisco,3.2,270,Yes,1571,2002,55790
R0992,Red Café,American,New York,3.8,720,Yes,1849,2016,91950
R0993,Royal Hub,American,Toronto,3.6,1610,Yes,1294,2001,42510
R0994,Ocean Kitchen,Thai,Dubai,2.5,1540,Yes,580,1986,66400
R0995,Street Palace,French,Berlin,3.9,1560,Yes,582,2004,179930
R0996,Urban Hub,Korean,Singapore,4.2,220,Yes,826,1994,148150
R0997,Green Kitchen,Korean,Toronto,4.0,970,Yes,1959,1993,121230
R0998,Street Palace,Thai,Paris,4.3,1640,Yes,1946,2023,112000
R0999,Street Palace,Chinese,Singapore,3.9,1910,Yes,1103,2009,149040
R1000,Royal Lounge,Mediterranean,Dubai,2.7,1050,Yes,1987,2009,47140
R1001,Blue Garden,Italian,Paris,2.8,650,Yes,1480,2008,89470
R1002,Green Café,Thai,Berlin,4.0,1090,No,1990,1990,33380
R1003,Fire Café,Mexican,London,3.2,1750,Yes,456,2014,147820
R1004,Blue Café,Mexican,Paris,2.7,1610,No,792,1994,86140
R1005,Red House,Japanese,London,3.6,280,No,1290,2023,27410
R1006,Golden Palace,Thai,New York,3.9,1340,No,918,2015,27330
R1007,Blue Café,Japanese,Tokyo,3.3,1730,No,953,2002,159440
R1008,Royal Corner,Thai,Sydney,4.3,1490,No,905,2017,38060
R1009,Royal Grill,Korean,Toronto,4.1,940,Yes,939,2003,152850
R1010,Green House,Italian,Sydney,3.3,1000,Yes,646,2007,125700
R1011,Fire Hub,Korean,New York,4.4,1470,Yes,935,1989,134570
R1012,Spice Bistro,Mediterranean,Paris,4.1,530,Yes,540,2010,37530
R1013,Urban Bistro,American,New York,4.1,1660,Yes,128,2013,93580
R1014,Ocean Grill,Indian,Sydney,3.9,580,Yes,1865,2008,165870
R1015,Golden Grill,Thai,Sydney,2.5,320,No,75,1990,78570
R1016,Red Café,Mediterranean,Toronto,4.2,1520,Yes,254,2023,30240
R1017,Spice Kitchen,American,Singapore,3.4,690,Yes,66,1988,116740
R1018,Spice Grill,French,San Francisco,4.9,420,Yes,1077,2010,55540
R1019,Ocean Bistro,Italian,New York,4.5,1410,Yes,533,1999,119710
R1020,Royal Lounge,Japanese,Tokyo,4.0,1390,Yes,1923,1997,139080
R1021,Urban Grill,Japanese,San Francisco,3.1,1070,Yes,433,2006,65660
R1022,Urban Café,Korean,New York,3.0,1760,Yes,1781,1997,160220
R1023,Red Palace,Mexican,Berlin,3.4,1310,Yes,1569,2023,131570
R1024,Golden Palace,American,Dubai,3.7,1300,Yes,404,2001,129520
R1025,Blue Palace,French,Dubai,3.2,910,Yes,459,2020,88940
R1026,Urban Garden,Mediterranean,Sydney,3.8,1730,Yes,1290,2023,90820
R1027,Golden Corner,Italian,Dubai,2.9,760,Yes,963,2009,139460
R1028,Golden Grill,American,London,4.9,200,Yes,1829,2018,46290
R1029,Red Garden,French,Tokyo,2.8,1750,Yes,1869,2005,86610
R1030,Blue Grill,Indian,Dubai,4.8,1320,Yes,1394,2009,82750
R1031,Royal Corner,Thai,Paris,4.8,810,Yes,772,2009,122270
R1032,Red Hub,Japanese,London,3.8,660,Yes,1639,2006,156740
R1033,Fire Palace,Mediterranean,San Francisco,4.3,970,No,1413,2007,37190
R1034,Green Garden,Japanese,London,3.6,1250,Yes,452,2009,112330
R1035,Urban Corner,Mediterranean,New York,4.1,1780,No,976,1998,54870
R1036,Royal Palace,Korean,Sydney,3.4,1450,Yes,901,1998,78440
R1037,Red Hub,Mexican,Toronto,3.3,1960,Yes,543,2010,107510
R1038,Golden Garden,Mediterranean,Toronto,3.9,240,No,1507,2014,134160
R1039,Fire House,Japanese,Berlin,3.7,500,No,166,2010,84620
R1040,Fire Bistro,Korean,Tokyo,3.9,560,No,98,2022,120030
R1041,Red Garden,Mediterranean,New York,3.2,980,Yes,211,2006,174980
R1042,Ocean Kitchen,Indian,Toronto,3.4,1620,Yes,989,2023,62620
R1043,Green Corner,Mexican,Sydney,2.7,710,No,471,2023,21460
R1044,Red Kitchen,Mediterranean,San Francisco,2.6,1580,Yes,1514,2018,147320
R1045,Blue Bistro,Korean,Toronto,3.1,620,No,718,2009,41170
R1046,Royal Kitchen,American,Paris,2.7,1700,Yes,1590,2020,74470
R1047,Spice Bistro,Chinese,London,2.8,590,No,463,1997,128550
R1048,Street Bistro,French,Toronto,4.5,820,No,1503,2013,23180
R1049,Street House,Chinese,New York,2.6,1490,Yes,389,1993,141610
R1050,Ocean Lounge,Chinese,Dubai,4.1,1060,Yes,410,1999,143230
R1051,Urban House,Italian,Dubai,3.2,920,Yes,1112,2015,77490
R1052,Fire Café,Indian,San Francisco,4.7,1940,Yes,560,2011,22540
R1053,Urban Hub,American,Dubai,3.7,1230,Yes,945,2015,115280
R1054,Green Grill,Thai,San Francisco,3.3,1770,Yes,1829,1994,105260
R1055,Urban Café,Mediterranean,New York,3.8,350,No,1022,2021,132830
R1056,Fire Bistro,French,Tokyo,3.5,780,No,1419,1991,63930
R1057,Red Kitchen,Mexican,Dubai,3.9,660,Yes,987,2016,30440
R1058,Fire Lounge,American,Berlin,2.8,1350,Yes,1700,1995,147650
R1059,Urban Hub,Japanese,Sydney,5.0,1770,No,670,2012,181190
R1060,Green Corner,Thai,London,3.6,1280,No,1376,1988,29610
R1061,Street Palace,Italian,Dubai,3.4,280,No,912,2015,57490
R1062,Fire House,Italian,San Francisco,4.3,840,Yes,454,2013,65650
R1063,Ocean Café,American,New York,3.4,780,No,61,2017,95160
R1064,Ocean Palace,Korean,Dubai,4.6,1210,Yes,1284,1988,189730
R1065,Street House,Chinese,Toronto,3.6,1550,No,1977,2010,130310
R1066,Green House,Japanese,Dubai,4.3,1420,No,1927,2015,126250
R1067,Ocean Bistro,Italian,San Francisco,2.8,1990,No,1692,2015,49890
R1068,Fire Café,French,Paris,4.6,1650,Yes,338,2011,76650
R1069,Red Corner,Italian,Paris,4.3,1100,No,1941,2009,65410
R1070,Red Lounge,Mexican,Dubai,3.0,1150,Yes,1527,2020,143860
R1071,Fire Café,Mediterranean,London,2.9,770,Yes,1383,2015,108460
R1072,Green House,Italian,New York,3.3,1960,No,779,2021,30780
R1073,Red Café,Mexican,Berlin,4.9,510,Yes,1818,2007,50740
R1074,Red Bistro,American,Berlin,3.1,670,Yes,1492,2019,115470
R1075,Urban Café,American,Dubai,3.6,640,No,507,1988,70290
R1076,Green Café,Thai,Dubai,2.6,1190,No,134,2012,182720
R1077,Red Bistro,Italian,Paris,3.5,1190,No,213,1997,178450
R1078,Golden House,French,San Francisco,3.9,650,Yes,777,1985,151040
R1079,Royal Grill,Italian,London,4.9,1780,No,652,1996,178550
R1080,Urban House,French,Dubai,3.8,1840,Yes,1054,2010,67560
R1081,Ocean Lounge,Indian,Berlin,4.5,1630,No,599,2007,66950
R1082,Urban House,Thai,New York,3.9,1930,Yes,1880,2006,29190
R1083,Spice Café,Indian,Tokyo,2.6,1450,No,1596,2012,119380
R1084,Urban Garden,Italian,Toronto,3.3,650,Yes,371,2001,37580
R1085,Green Hub,Thai,Dubai,3.9,1400,No,370,1990,38310
R1086,Royal Garden,Indian,San Francisco,4.9,1070,Yes,1811,1998,113630
R1087,Spice Bistro,Chinese,Dubai,4.6,800,Yes,1149,2001,187430
R1088,Blue House,Italian,San Francisco,3.1,650,Yes,64,2022,162550
R1089,Green Bistro,Indian,London,3.1,1980,No,301,1989,58100
R1090,Golden Kitchen,Chinese,Tokyo,3.0,1820,Yes,1084,1997,34400
R1091,Spice Grill,Chinese,Sydney,4.8,1000,Yes,851,1993,131110
R1092,Green Lounge,American,New York,4.6,1890,Yes,794,2010,37190
R1093,Royal Kitchen,Italian,New York,4.4,640,No,263,1997,134450
R1094,Red Bistro,Chinese,San Francisco,3.5,1370,Yes,501,2003,25550
R1095,Street House,American,Paris,3.8,660,Yes,994,2001,114250
R1096,Urban Garden,Indian,San Francisco,3.7,1770,Yes,582,2000,141120
R1097,Golden House,Mexican,Paris,3.1,1710,No,868,2014,42970
R1098,Blue Grill,Italian,Singapore,3.8,1900,Yes,1002,2016,35350
R1099,Street Kitchen,Thai,Berlin,2.6,1810,No,1942,1998,169310
R1100,Royal Café,French,New York,2.8,420,No,970,1999,82820
R1101,Fire Hub,French,London,4.7,800,Yes,1896,1996,134940
R1102,Blue Grill,Indian,San Francisco,4.4,1840,Yes,234,2021,39610
R1103,Street Garden,Korean,London,3.6,320,No,1502,1995,29790
R1104,Red Hub,Korean,Tokyo,3.8,260,No,1881,1989,22720
R1105,Street Café,Indian,London,3.4,1890,No,112,1995,147750
R1106,Red Corner,Chinese,Dubai,4.4,1850,Yes,979,2018,71440
R1107,Ocean Lounge,Italian,Berlin,4.5,1990,Yes,1081,2003,36880
R1108,Blue Kitchen,French,Dubai,4.4,1910,Yes,746,2010,173200
R1109,Spice House,French,Toronto,4.3,1600,Yes,1375,2010,199790
R1110,Green Café,Chinese,San Francisco,3.0,470,Yes,242,2001,181540
R1111,Ocean Lounge,French,New York,3.3,1150,Yes,1615,2015,66830
R1112,Green Palace,Thai,San Francisco,3.7,1260,Yes,1592,2003,171230
R1113,Red Grill,Italian,Berlin,3.3,1170,Yes,237,2004,77860
R1114,Urban Garden,Mediterranean,Sydney,4.4,1310,Yes,1016,2007,71290
R1115,Red Grill,French,Sydney,3.3,200,Yes,531,2009,48450
R1116,Golden House,Indian,Toronto,2.8,620,No,1730,2012,104480
R1117,Royal Lounge,Thai,Berlin,3.5,610,Yes,1625,2021,186930
R1118,Urban Garden,French,Singapore,4.9,1140,Yes,22,1996,182620
R1119,Green Hub,Thai,Singapore,3.1,1970,Yes,1532,1985,112800
R1120,Spice Garden,American,Singapore,4.0,1480,Yes,454,1986,149230
R1121,Urban Kitchen,Mediterranean,New York,3.6,700,Yes,1859,1994,150840
R1122,Green Hub,Japanese,New York,2.7,1630,Yes,349,2018,195600
R1123,Urban Palace,Indian,Singapore,3.7,1860,Yes,1357,2016,134220
R1124,Spice Café,Indian,Sydney,4.3,340,No,1629,2009,37240
R1125,Blue House,Italian,Berlin,3.8,1440,Yes,607,1994,46280
R1126,Golden Corner,Thai,London,4.7,1800,Yes,166,1985,197340
R1127,Fire House,Chinese,Berlin,3.2,1060,No,665,2016,26190
R1128,Blue Palace,Indian,Singapore,2.7,720,Yes,1012,2021,157860
R1129,Fire Lounge,Thai,Berlin,4.8,1640,No,1608,1996,193610
R1130,Blue Hub,Thai,Tokyo,3.4,1080,Yes,1464,2002,117290
R1131,Royal Garden,Mexican,New York,3.9,1250,Yes,1588,2014,57720
R1132,Spice Café,Mexican,New York,4.5,250,Yes,1440,1997,45330
R1133,Red Palace,Japanese,Sydney,3.3,500,No,1191,1987,106690
R1134,Golden Hub,American,London,4.3,590,Yes,1218,2005,40400
R1135,Street House,Japanese,Singapore,2.8,1770,Yes,807,1998,199490
R1136,Green Bistro,French,San Francisco,3.2,880,Yes,500,1994,62680
R1137,Royal Hub,Chinese,Sydney,2.9,1540,Yes,844,1986,48390
R1138,Golden Garden,French,Sydney,4.5,320,No,961,2021,188510
R1139,Spice Café,Korean,London,3.1,230,Yes,1569,1995,137390
R1140,Spice Café,French,Dubai,4.3,1970,No,366,1985,170580
R1141,Ocean Bistro,Italian,Singapore,4.9,220,Yes,726,2010,101760
R1142,Ocean Hub,French,San Francisco,3.8,1590,No,371,1997,85400
R1143,Spice Corner,Japanese,New York,3.9,840,Yes,1257,2012,144120
R1144,Blue Hub,Indian,London,3.7,460,No,1646,2020,47430
R1145,Royal Lounge,Indian,San Francisco,3.3,1260,Yes,1237,2005,76420
R1146,Urban Café,Mexican,Tokyo,3.7,690,No,17,1994,120690
R1147,Royal Kitchen,Chinese,Sydney,4.0,360,Yes,481,1996,30260
R1148,Golden Bistro,Chinese,London,5.0,510,Yes,181,2011,55920
R1149,Green Palace,Italian,New York,4.8,1980,No,1753,1987,29870
R1150,Blue Bistro,Japanese,Berlin,4.7,360,Yes,105,2012,179170
R1151,Royal Lounge,Mexican,New York,4.7,530,No,683,1986,92380
R1152,Fire Kitchen,Korean,Tokyo,3.7,540,Yes,1836,2012,47470
R1153,Red Kitchen,Chinese,London,4.1,1710,Yes,617,2015,103300
R1154,Blue Garden,Indian,Tokyo,4.7,1650,No,1339,2005,76500
R1155,Royal Kitchen,French,Singapore,3.5,690,Yes,1690,1991,64960
R1156,Urban Palace,French,Singapore,4.9,1930,Yes,1291,2015,188200
R1157,Green Bistro,Mexican,Berlin,3.5,1950,No,483,1998,198070
R1158,Royal Hub,Japanese,Sydney,4.0,1220,Yes,1983,2023,57210
R1159,Ocean Bistro,Japanese,Dubai,4.3,520,Yes,1333,2023,195200
R1160,Golden Garden,American,Paris,4.9,1080,Yes,1498,1993,31450
R1161,Royal Lounge,Mediterranean,San Francisco,3.1,1740,No,623,2007,113000
R1162,Golden Palace,Chinese,Tokyo,4.4,1480,No,698,1996,159290
R1163,Spice Corner,Japanese,San Francisco,3.8,1040,No,907,2013,82420
R1164,Fire Hub,Indian,Berlin,3.2,780,Yes,1361,2022,158320
R1165,Urban Kitchen,Mexican,San Francisco,4.4,290,Yes,119,2023,162850
R1166,Green Palace,Korean,San Francisco,3.9,1720,Yes,719,2006,110970
R1167,Golden House,American,New York,4.2,760,Yes,1938,1988,170840
R1168,Ocean Grill,Thai,London,3.3,850,Yes,1162,1991,39920
R1169,Blue Palace,Italian,Sydney,3.7,1380,Yes,974,1992,61220
R1170,Red Bistro,Korean,Paris,4.0,1310,No,880,2019,142900
R1171,Ocean Kitchen,Thai,London,3.5,340,No,1170,1993,191890
R1172,Royal House,French,New York,3.0,1750,Yes,1943,1997,155410
R1173,Royal Palace,Italian,San Francisco,4.9,320,No,1572,2023,60100
R1174,Fire House,Chinese,Paris,3.8,1330,No,658,2004,102750
R1175,Royal Kitchen,Indian,New York,4.3,1370,Yes,1197,2005,53200
R1176,Fire Garden,Italian,New York,3.5,1610,Yes,358,2003,98280
R1177,Red Café,Mediterranean,New York,3.4,1330,Yes,472,1986,98850
R1178,Golden House,Thai,Singapore,3.5,530,Yes,1901,2014,92480
R1179,Red House,Chinese,Paris,3.5,1200,Yes,1676,2007,98680
R1180,Spice Kitchen,Mediterranean,New York,3.9,440,Yes,1537,1997,83490
R1181,Green Palace,French,Dubai,3.9,1310,No,894,2017,50620
R1182,Golden Kitchen,Mediterranean,San Francisco,3.7,730,Yes,1184,2016,58520
R1183,Blue Palace,American,Paris,2.8,310,Yes,1923,2012,151600
R1184,Urban Kitchen,American,Singapore,3.7,1450,Yes,255,2008,183220
R1185,Green Garden,Mexican,Tokyo,2.9,1560,Yes,1143,2012,23870
R1186,Green Palace,Korean,Tokyo,2.8,500,Yes,1618,2014,161230
R1187,Golden Café,Korean,Sydney,4.8,970,Yes,807,2013,90370
R1188,Street Lounge,Chinese,Toronto,4.0,720,No,1308,2018,89100
R1189,Blue Kitchen,French,Dubai,4.1,1310,Yes,879,2006,177580
R1190,Blue Bistro,Japanese,Tokyo,3.5,620,No,1100,2009,40030
R1191,Spice Palace,American,Singapore,4.8,1850,Yes,1083,1998,77450
R1192,Royal Palace,Chinese,Toronto,4.1,610,Yes,825,1994,199240
R1193,Golden Kitchen,Japanese,New York,4.4,1430,Yes,524,1994,55470
R1194,Green Café,Korean,New York,3.4,1950,No,235,1992,110510
R1195,Ocean Café,Mexican,Berlin,4.9,860,No,587,1998,164560
R1196,Royal Hub,Mediterranean,San Francisco,4.6,850,Yes,515,2022,23010
R1197,Red Lounge,American,Toronto,4.6,1630,Yes,164,2016,91040
R1198,Blue Palace,Chinese,San Francisco,2.9,1020,Yes,1907,2016,110720
R1199,Blue Lounge,Italian,Singapore,3.2,1130,No,1513,1987,124730
R1200,Fire Lounge,Japanese,Dubai,3.2,1240,Yes,120,2004,186130
R1201,Spice Corner,Mediterranean,Toronto,3.2,1630,Yes,492,1997,97100
R1202,Golden Corner,American,Tokyo,4.6,500,Yes,817,2007,181780
R1203,Street Corner,Korean,Dubai,2.6,1370,Yes,1926,2003,102420
R1204,Spice Palace,French,Berlin,2.7,470,No,1801,2000,94960
R1205,Fire Lounge,Japanese,San Francisco,3.2,230,Yes,283,2020,154840
R1206,Spice Corner,Korean,San Francisco,3.0,1570,Yes,164,2019,78870
R1207,Ocean Kitchen,American,Dubai,3.1,1980,Yes,1684,1991,198620
R1208,Fire Bistro,Japanese,New York,4.5,370,Yes,1200,2021,40880
R1209,Royal Palace,Mediterranean,San Francisco,3.9,660,Yes,1052,1992,80400
R1210,Royal Corner,American,Berlin,2.5,1790,No,354,2009,154400
R1211,Street Lounge,Thai,Tokyo,3.6,1770,Yes,1936,2007,164210
R1212,Street Café,Chinese,Paris,3.5,1830,Yes,744,1994,43430
R1213,Urban Corner,Mediterranean,Tokyo,2.8,280,Yes,578,2014,91880
R1214,Ocean Corner,Japanese,Tokyo,4.2,1830,No,1931,2017,32380
R1215,Fire Garden,French,San Francisco,4.3,480,Yes,303,1995,144480
R1216,Blue House,Korean,London,4.3,1630,No,654,2019,88560
R1217,Fire Grill,Italian,New York,4.3,1110,Yes,1495,2011,126200
R1218,Urban Garden,Korean,San Francisco,2.5,1680,No,347,1987,103740
R1219,Urban House,Japanese,New York,4.9,830,Yes,1837,1992,107350
R1220,Ocean Corner,Korean,Singapore,4.5,1300,Yes,461,1997,20920
R1221,Blue Palace,Chinese,London,4.8,1430,Yes,353,1987,44150
R1222,Blue Corner,American,San Francisco,2.5,1290,No,726,2004,62540
R1223,Fire Garden,Italian,Sydney,4.8,1370,No,640,2019,126370
R1224,Street Garden,Indian,Tokyo,4.5,1750,No,774,1997,65330
R1225,Royal Hub,Japanese,Singapore,4.6,1190,No,94,2004,85160
R1226,Urban Corner,Mexican,London,2.7,500,Yes,1730,2008,64010
R1227,Royal Lounge,Indian,San Francisco,4.3,1800,Yes,746,1993,50320
R1228,Ocean Café,Korean,Berlin,4.9,1880,No,669,2014,125680
R1229,Blue Kitchen,Japanese,Dubai,4.2,1000,No,1422,2009,88670
R1230,Blue Garden,Thai,Dubai,3.9,650,Yes,1825,2000,161760
R1231,Green Palace,Mexican,New York,4.9,680,Yes,236,1992,52340
R1232,Spice Garden,Italian,London,3.6,610,Yes,1319,2012,83010
R1233,Fire House,French,Tokyo,4.0,1700,Yes,1317,1996,195170
R1234,Spice Bistro,Thai,Tokyo,3.7,1310,Yes,1726,2008,138300
R1235,Red Lounge,Indian,Paris,4.8,460,Yes,1980,2013,125890
R1236,Blue Hub,American,Dubai,2.7,1790,Yes,118,1999,40620
R1237,Ocean Kitchen,Chinese,Singapore,3.8,1070,No,144,2002,66270
R1238,Spice Kitchen,French,London,4.2,1400,No,947,1991,151420
R1239,Red Hub,Thai,Tokyo,4.5,220,No,300,1997,24680
R1240,Urban Garden,American,Paris,4.0,790,No,1920,2003,33440
R1241,Ocean House,American,London,4.8,980,Yes,1835,1989,80980
R1242,Spice Garden,Japanese,Toronto,4.9,1640,No,1648,2010,141010
R1243,Green Corner,Thai,Tokyo,2.7,510,Yes,1746,1986,58070
R1244,Royal Kitchen,Italian,Toronto,3.5,260,No,1541,2017,67360
R1245,Red Café,Korean,London,2.6,900,Yes,1662,2021,173750
R1246,Golden Corner,Mexican,Tokyo,3.3,1470,No,1877,2009,189720
R1247,Green House,Mexican,Toronto,3.8,770,Yes,831,2009,58830
R1248,Street Grill,Indian,Sydney,4.8,1870,Yes,1062,2023,20910
R1249,Red Kitchen,Indian,Paris,4.6,1310,Yes,403,2014,188410
R1250,Golden Café,Mexican,Singapore,2.8,670,Yes,36,1988,38840
R1251,Golden Café,Italian,Dubai,2.7,1980,Yes,1500,2003,154320
R1252,Royal Lounge,Chinese,Paris,4.0,1300,Yes,22,2011,162820
R1253,Spice Bistro,Mediterranean,Toronto,3.8,900,No,563,2023,162020
R1254,Red Garden,Korean,Tokyo,3.2,1840,Yes,942,2008,122310
R1255,Street Grill,Chinese,Sydney,4.7,940,Yes,454,2021,96420
R1256,Ocean House,Japanese,Sydney,4.8,930,Yes,233,2009,99520
R1257,Fire Grill,Mediterranean,Dubai,3.5,1400,Yes,1496,2013,115950
R1258,Fire Hub,Mediterranean,Sydney,4.7,740,Yes,30,2015,64820
R1259,Red Palace,Thai,Paris,3.5,600,Yes,1420,2019,39810
R1260,Spice House,Italian,San Francisco,4.3,1160,No,1681,2012,159180
R1261,Green Lounge,Italian,Sydney,3.7,1670,Yes,1359,2022,119840
R1262,Ocean Garden,Mediterranean,Dubai,2.8,520,No,1766,1988,178130
R1263,Ocean Garden,Thai,Sydney,4.8,1870,No,476,2012,64660
R1264,Royal Palace,Korean,Sydney,3.6,530,No,1690,2015,42310
R1265,Royal Grill,Mediterranean,Berlin,4.3,810,Yes,1555,2007,103960
R1266,Blue Kitchen,French,Paris,3.4,380,Yes,1258,1998,152410
R1267,Green Hub,Indian,Toronto,2.5,1900,Yes,662,2012,124110
R1268,Urban Palace,Indian,New York,2.8,290,No,1508,1998,151120
R1269,Spice Lounge,Chinese,San Francisco,3.7,1390,Yes,627,1985,113830
R1270,Royal Palace,Japanese,Sydney,4.2,1420,No,789,2016,134810
R1271,Spice Palace,Indian,Singapore,3.3,1230,Yes,1739,2002,71750
R1272,Blue Lounge,American,Sydney,4.2,1600,Yes,467,1989,199820
R1273,Royal House,Chinese,Berlin,4.2,240,Yes,649,1999,199260
R1274,Spice Garden,Indian,Toronto,4.3,770,Yes,1246,2000,103330
R1275,Red Hub,Japanese,Singapore,3.7,780,No,672,2020,164600
R1276,Blue Café,Italian,San Francisco,4.8,1470,Yes,970,2020,20890
R1277,Golden Kitchen,Italian,Singapore,3.7,1050,Yes,1514,2014,74900
R1278,Fire Palace,Korean,Paris,3.6,1230,Yes,1929,2022,172870
R1279,Urban Café,Mediterranean,Dubai,3.0,1620,Yes,189,2007,124550
R1280,Urban Grill,French,Dubai,3.3,1480,Yes,1862,1995,137040
R1281,Royal Garden,Italian,San Francisco,2.6,570,Yes,547,2009,195930
R1282,Golden Bistro,Thai,Toronto,4.1,1260,Yes,536,1986,69780
R1283,Fire Palace,Indian,Dubai,3.1,1280,Yes,31,2019,52240
R1284,Blue Bistro,Thai,London,3.3,720,Yes,1378,2008,68560
R1285,Golden House,Japanese,Berlin,4.4,710,Yes,586,1997,199220
R1286,Spice Hub,Italian,San Francisco,3.3,200,Yes,772,2021,21480
R1287,Fire House,French,San Francisco,3.1,300,No,931,2014,172630
R1288,Golden Hub,Japanese,New York,2.9,770,No,1054,1995,198090
R1289,Red Garden,American,New York,4.4,1470,No,754,2007,115460
R1290,Fire Lounge,American,Paris,2.8,1870,No,1441,2012,155380
R1291,Blue Palace,Thai,Paris,3.6,630,Yes,1520,2013,161150
R1292,Red Palace,Mediterranean,New York,3.8,250,Yes,1561,1999,181880
R1293,Fire Café,Chinese,Dubai,4.2,1750,Yes,1449,1987,43630
R1294,Street Kitchen,Mediterranean,Tokyo,4.1,1780,Yes,1305,1993,51070
R1295,Urban Kitchen,Korean,San Francisco,4.5,270,Yes,1238,1992,76280
R1296,Golden Lounge,Mediterranean,London,2.6,240,No,1331,2017,198850
R1297,Street Palace,Korean,San Francisco,3.2,1250,Yes,681,2018,34510
R1298,Royal Kitchen,Korean,Sydney,3.2,1310,Yes,1979,1993,181950
R1299,Street Corner,French,Toronto,2.9,360,Yes,1586,2001,106410
R1300,Golden House,Italian,Berlin,3.2,1850,Yes,1141,1985,171800
R1301,Royal Café,French,Tokyo,3.3,280,Yes,646,1989,143770
R1302,Urban Garden,Korean,London,3.8,970,No,1033,2014,127800
R1303,Red House,Japanese,Sydney,4.2,330,Yes,161,1995,183330
R1304,Ocean Grill,American,Paris,3.5,1730,No,22,2012,196730
R1305,Red Hub,Korean,London,4.3,1320,No,724,2022,188870
R1306,Street Corner,French,New York,3.3,1100,Yes,1112,2001,50970
R1307,Ocean Hub,Japanese,San Francisco,3.2,440,Yes,915,2007,155880
R1308,Royal Corner,French,London,3.9,1830,No,1587,2002,116570
R1309,Urban Lounge,Mediterranean,Toronto,2.6,1170,Yes,1202,2021,65200
R1310,Ocean Garden,Indian,Singapore,2.7,1800,Yes,258,2011,153410
R1311,Green Palace,Thai,Paris,3.5,220,No,1154,2009,57160
R1312,Fire Kitchen,Chinese,Berlin,4.9,1580,Yes,396,1989,168310
R1313,Royal Bistro,French,Berlin,4.3,1310,Yes,448,2003,108420
R1314,Blue Garden,Chinese,London,2.7,1650,Yes,1305,2011,32100
R1315,Golden Palace,Mexican,Singapore,4.6,660,Yes,309,1997,41870
R1316,Ocean Café,French,San Francisco,4.3,1910,Yes,730,1991,100580
R1317,Ocean Lounge,Indian,Sydney,4.0,690,Yes,482,2010,187520
R1318,Street Palace,Chinese,Tokyo,4.6,1760,Yes,1191,1998,125360
